,Mean,Min,Max,X,Y,IntDen,RawIntDen,Slice,MinThr,MaxThr
1,116,116,116,5.695,10.309,0.616,116,1,0,65535
2,124,124,124,1.882,13.126,0.658,124,1,0,65535
3,117,117,117,18.663,14.001,0.621,117,1,0,65535
4,128,128,128,13.612,16.405,0.679,128,1,0,65535
5,162,162,162,7.929,5.234,0.860,162,1,0,65535
6,155,155,155,18.785,25.220,0.823,155,1,0,65535
7,132,132,132,20.752,24.225,0.701,132,1,0,65535
8,132,132,132,7.371,22.185,0.701,132,1,0,65535
9,151,151,151,25.512,9.289,0.802,151,1,0,65535
10,117,117,117,28.766,20.412,0.621,117,1,0,65535
11,139,139,139,39.452,13.976,0.738,139,1,0,65535
12,135,135,135,41.103,13.636,0.717,135,1,0,65535
13,127,127,127,44.916,19.052,0.674,127,1,0,65535
14,129,129,129,39.112,14.875,0.685,129,1,0,65535
15,131,131,131,30.927,25.318,0.695,131,1,0,65535
16,131,131,131,33.678,2.750,0.695,131,1,0,65535
17,123,123,123,43.313,6.921,0.653,123,1,0,65535
18,122,122,122,37.885,7.195,0.648,122,1,0,65535
19,131,131,131,43.386,33.745,0.695,131,1,0,65535
20,114,114,114,45.499,42.245,0.605,114,1,0,65535
21,123,123,123,33.599,39.355,0.653,123,1,0,65535
22,135,135,135,28.378,39.597,0.717,135,1,0,65535
23,144,144,144,16.478,26.920,0.764,144,1,0,65535
24,144,144,144,14.899,26.775,0.764,144,1,0,65535
25,130,130,130,14.851,40.253,0.690,130,1,0,65535
26,124,124,124,28.815,43.362,0.658,124,1,0,65535
27,120,120,120,31.777,42.900,0.637,120,1,0,65535
28,120,120,120,29.300,45.377,0.637,120,1,0,65535
29,110,110,110,6.120,39.324,0.584,110,1,0,65535
30,125,125,125,9.453,43.240,0.664,125,1,0,65535
